id,apellido,nombre,id_pais,fecha_nacimiento,fecha_defuncion,biografia,created_at
153,Guerra-Peixe,César,8,1914-01-01,1993-01-01,,2025-12-06 03:45:14.417159+00
154,Guevara,Gerardo,15,1930-01-01,2024-01-01,,2025-12-06 03:45:14.417159+00
155,Gun's and Roses,,,,,,2025-12-06 03:45:14.417159+00
156,Gurney,Ivor,22,1890-01-01,1937-01-01,,2025-12-06 03:45:14.417159+00
157,Gutiérrez del Barrio,Luis,2,1897-01-01,1967-01-01,,2025-12-06 03:45:14.417159+00
158,György Ligeti,,21,1923-01-01,2006-01-01,,2025-12-06 03:45:14.417159+00
159,Haddad,Don,17,1935-01-01,2017-01-01,,2025-12-06 03:45:14.417159+00
160,Händel,Georg Friedrich,1,1685-01-01,1759-01-01,,2025-12-06 03:45:14.417159+00
161,Harrison,George,22,1943-01-01,2001-01-01,,2025-12-06 03:45:14.417159+00
162,Haydn,Franz Joseph,5,1732-01-01,1809-01-01,,2025-12-06 03:45:14.417159+00
163,Hechenleitner,Ángel,2,1952-01-01,2021-01-01,,2025-12-06 03:45:14.417159+00
164,Herrerías,Mario,2,1954-01-01,2018-01-01,,2025-12-06 03:45:14.417159+00
165,Herrmann,Bernard,17,1911-01-01,1975-01-01,,2025-12-06 03:45:14.417159+00
166,Hoffmeister,Franz Anton,1,1754-01-01,1812-01-01,,2025-12-06 03:45:14.417159+00
168,Honegger,Arthur,20,1892-01-01,1955-01-01,,2025-12-06 03:45:14.417159+00
169,Horner,James,17,1953-01-01,2015-01-01,,2025-12-06 03:45:14.417159+00
170,Horner,James,17,1953-01-01,2015-01-01,,2025-12-06 03:45:14.417159+00
171,Horst,Jorge,2,1963-01-01,,,2025-12-06 03:45:14.417159+00
172,Howard,Bart,17,1915-01-01,2004-01-01,,2025-12-06 03:45:14.417159+00
173,Howarth,Jones,22,1935-01-01,,,2025-12-06 03:45:14.417159+00
174,Hummel,Johann Nepomuk,5,1778-01-01,1837-01-01,,2025-12-06 03:45:14.417159+00
175,Humperdinck,Engelbert,1,1854-01-01,1921-01-01,,2025-12-06 03:45:14.417159+00
176,Ibert,Jacques,20,1890-01-01,1962-01-01,,2025-12-06 03:45:14.417159+00
177,Isella,César,2,1937-01-01,2021-01-01,,2025-12-06 03:45:14.417159+00
178,Ives,Charles,17,1874-01-01,1954-01-01,,2025-12-06 03:45:14.417159+00
179,Janáček,Leoš,32,1854-01-01,1928-01-01,,2025-12-06 03:45:14.417159+00
180,Juárez,Manuel,2,1937-01-01,2020-01-01,,2025-12-06 03:45:14.417159+00
181,Juncos,Omar,2,,,,2025-12-06 03:45:14.417159+00
182,Kalinnikov,Vasili,35,1866-01-01,1901-01-01,,2025-12-06 03:45:14.417159+00
183,Kander,John,17,1927-01-01,,,2025-12-06 03:45:14.417159+00
184,Kanno,Yugo,25,1977-01-01,,,2025-12-06 03:45:14.417159+00
185,Khachaturian,Aram,35,1903-01-01,1978-01-01,,2025-12-06 03:45:14.417159+00
186,Kid Ory,,17,1886-01-01,1973-01-01,,2025-12-06 03:45:14.417159+00
187,Kondo,Koji,25,1961-01-01,,,2025-12-06 03:45:14.417159+00
188,Koussevitzky,Sergei,35,1874-01-01,1951-01-01,,2025-12-06 03:45:14.417159+00
189,Kunik,Pablo,2,,,,2025-12-06 03:45:14.417159+00
190,Lagos,Aníbal,2,,,,2025-12-06 03:45:14.417159+00
191,Lalo,Édouard,20,1823-01-01,1892-01-01,,2025-12-06 03:45:14.417159+00
192,Lams,Bert,,,,,2025-12-06 03:45:14.417159+00
193,Lara,Agustín,26,1897-01-01,1970-01-01,,2025-12-06 03:45:14.417159+00
194,Lara,Ana,26,1959-01-01,,,2025-12-06 03:45:14.417159+00
195,Lebedjew,Alexej,35,1982-01-01,,,2025-12-06 03:45:14.417159+00
196,Leguizamon,"Gustavo ""Cuchi""",2,1917-01-01,2000-01-01,,2025-12-06 03:45:14.417159+00
197,Lekeu,Guillaume,6,1870-01-01,1924-01-01,,2025-12-06 03:45:14.417159+00
198,Lema,Germán,2,1975-01-01,,,2025-12-06 03:45:14.417159+00
199,Lennon-McCartney,,22,,,,2025-12-06 03:45:14.417159+00
200,Lerman,Fernando,2,1968-01-01,,,2025-12-06 03:45:14.417159+00
201,Lezcano,Evaldo,2,,,,2025-12-06 03:45:14.417159+00
202,Liebermann,Lowell,17,1961-01-01,,,2025-12-06 03:45:14.417159+00
